Equity,Future,Mix
-0.0039,0.01800,0.00705
-0.0459,0.00900,-0.01845
0.0063,0.00900,0.00765
0.048,-0.00900,0.0195
0.0079,0.01800,0.01295
0.0281,0.01800,0.02305
0.0406,0.01800,0.0293
0.0044,0.01800,0.0112
0.04,0.01800,0.029
-0.0287,0.00900,-0.00985
0.0154,0.01800,0.0167
0.0563,0.01800,0.03715
0.0044,0.01800,0.0112
-0.0151,0.00900,-0.00305
-0.0016,-0.01800,-0.0098
0.0371,0.01800,0.02755
0.0368,0.01800,0.0274
0.0443,0.01800,0.03115
-0.0049,0.00900,0.00205
0.0288,0.00000,0.0144
-0.022,-0.00900,-0.0155
-0.0113,0.01800,0.00335
0.0346,0.01800,0.0263
0.0315,0.01800,0.02475
0.0126,0.01800,0.0153
0.0156,0.01800,0.0168
0.0462,0.01800,0.0321
0.0091,0.01800,0.01355
0.0033,0.01800,0.01065
-0.0043,0.00000,-0.00215
-0.0367,-0.00900,-0.02285
0.0024,0.01800,0.0102
-0.0247,0.01800,-0.00335
-0.0362,0.01800,-0.0091
0.0247,0.01800,0.02135
0.003,0.01800,0.0105
-0.0357,0.01800,-0.00885
-0.0001,0.01800,0.00895
0.0187,0.01800,0.01835
0.0514,0.01800,0.0347
0.0576,0.01800,0.0378
0.0163,0.01800,0.01715
0.0391,0.01800,0.02855
0.0137,0.01800,0.01585
0.0201,0.01800,0.01905
0.0273,0.01800,0.02265
0.0408,0.01800,0.0294
0.0313,0.01800,0.02465
0.0228,0.01800,0.0204
0.0206,0.01800,0.0193
0.0151,-0.00900,0.00305
-0.0246,0.01800,-0.0033
0.0022,0.01800,0.0101
0.0111,0.01800,0.01455
-0.0195,0.01800,-0.00075
0.0175,0.01800,0.01775
0.0022,0.01800,0.0101
0.0235,0.01800,0.02075
0.0479,0.01800,0.03295
0.0274,0.01800,0.0227
-0.023,0.01800,-0.0025
0.0062,0.01800,0.0121
-0.0102,0.01800,0.0039
-0.0116,-0.00900,-0.0103
0.0099,0.01800,0.01395
0.0185,0.01800,0.01825
0.0191,0.01800,0.01855
-0.0117,0.01800,0.00315
0.0007,0.01800,0.00935
-0.011,0.00000,-0.0055
0.0337,0.01800,0.02585
-0.008,0.01800,0.005
0.0048,0.01800,0.0114
0.0256,0.01800,0.0218
0.0099,0.01800,0.01395
0.0179,0.01800,0.01795
-0.0005,0.01800,0.00875
0.0056,0.01800,0.0118
0.0214,0.01800,0.0197
0.018,0.01800,0.018
0.0115,0.01800,0.01475
0.0333,0.01800,0.02565
0.0173,0.01800,0.01765
0.0173,0.01800,0.01765
0.0008,0.01800,0.0094
-0.0057,-0.00900,-0.00735
0.0054,0.01800,0.0117
0.0248,0.01800,0.0214
0.005,0.01800,0.0115
-0.0407,0.00000,-0.02035
-0.0302,0.01800,-0.0061
0.0228,-0.00900,0.0069
0.0289,0.01800,0.02345
0.0021,0.01800,0.01005
0.0029,0.00900,0.00595
-0.0116,0.01800,0.0032
-0.0555,-0.00900,-0.03225
0.0092,0.01800,0.0136
-0.0099,0.01800,0.00405
0.0206,0.01800,0.0193
-0.0006,0.01800,0.0087
-0.0701,0.00900,-0.03055
0.0242,0.01800,0.0211
0.0384,0.01800,0.0282
-0.0228,-0.00900,-0.0159
-0.1056,-0.02700,-0.0663
-0.0349,0.01800,-0.00845
-0.0107,0.01800,0.00365
-0.0287,0.01800,-0.00535
-0.1146,0.01800,-0.0483
0.0182,0.01800,0.0181
0.015,0.01800,0.0165
0.0477,0.01800,0.03285
0.0513,0.01800,0.03465
0.0567,0.01800,0.03735
0.0107,0.01800,0.01435
0.0192,0.01800,0.0186
-0.0008,0.01800,0.0086
0.0422,0.01800,0.0301
0.0526,0.01800,0.0353
-0.015,-0.00900,-0.012
0.0253,0.01800,0.02165
0.0454,0.01800,0.0317
0.0258,0.01800,0.0219
-0.0469,-0.02700,-0.03695
0.0078,0.01800,0.0129
0.0522,0.01800,0.0351
0.0104,0.01800,0.0142
0.0495,0.01800,0.03375
0.0232,0.01800,0.0206
-0.0025,0.01800,0.00775
0.0324,0.01800,0.0252
-0.0157,0.01800,0.00115
0.0139,0.01800,0.01595
0.0149,0.00000,0.00745
0.0382,0.01800,0.0281
0.0043,0.01800,0.01115
-0.0068,0.01800,0.0056
-0.0192,0.01800,-0.0006
0.0143,-0.02700,-0.00635
0.0001,0.01800,0.00905
0.0437,0.01800,0.03085
-0.0107,0.00000,-0.00535
0.0414,0.01800,0.0297
-0.0129,0.01800,0.00255
0.014,0.01800,0.016
0.0152,0.01800,0.0166
0.0262,0.01800,0.0221
-0.0022,0.01800,0.0079
0.0428,0.00900,0.0259
0.0323,0.00900,0.02065
-0.0215,0.01800,-0.00175
0.015,0.01800,0.0165
-0.0048,0.01800,0.0066
-0.0047,0.01800,0.00665
-0.0167,0.01800,0.00065
0.0522,0.01800,0.0351
0.026,0.01800,0.022
0.0475,0.00900,0.02825
0.0386,-0.00900,0.0148
-0.0509,0.01800,-0.01645
-0.0034,0.01800,0.0073
0.0476,0.01800,0.0328
-0.0269,0.01800,-0.00445
0.0248,0.01800,0.0214
0.0395,0.01800,0.02875
0.0176,0.01800,0.0178
0.007,0.01800,0.0125
-0.0437,0.01800,-0.01285
0.032,0.01800,0.025
0.0012,0.01800,0.0096
0.0261,0.01800,0.02205
0.0114,0.01800,0.0147
0.0173,0.01800,0.01765
-0.0088,0.01800,0.0046
0.0222,0.01800,0.0201
-0.0087,0.01800,0.00465
0.0408,0.01800,0.0294
0.0287,0.01800,0.02335
0.0206,0.00900,0.0148
-0.0122,0.01800,0.0029
0.0254,0.01800,0.0217
0.0065,-0.00900,-0.00125
-0.0152,0.01800,0.0014
0.0101,0.00900,0.00955
-0.0199,0.01800,-0.00095
0.054,0.01800,0.036
-0.0436,-0.03600,-0.0398
0.0002,0.01800,0.0091
0.0419,0.01800,0.02995
0.0201,0.00900,0.01455
-0.0022,0.00900,0.0034
-0.002,0.00900,0.0035
0.0111,0.00900,0.01005
0.0669,0.01800,0.04245
0.0001,0.01800,0.00905
0.0182,0.01800,0.0181
0.0268,0.01800,0.0224
-0.0097,0.01800,0.00415
-0.0353,0.01800,-0.00865
-0.0125,0.01800,0.00275
-0.0115,0.01800,0.00325
0.0279,0.01800,0.02295
0.0214,0.01800,0.0197
-0.0002,0.01800,0.0089
0.0546,0.01800,0.0363
0.0041,0.01800,0.01105
0.0099,0.01800,0.01395
0.0304,0.01800,0.0242
0.0088,0.01800,0.0134
0.0125,0.01800,0.01525
-0.0067,0.01800,0.00565
0.0059,0.01800,0.01195
0.0278,0.01800,0.0229
0.0135,0.01800,0.01575
-0.0292,0.01800,-0.0056
0.0072,0.01800,0.0126
-0.0399,-0.01800,-0.02895
-0.0041,0.00900,0.00245
0.0017,0.01800,0.00985
-0.0029,0.01800,0.00755
0.0039,0.00900,0.00645
0.0347,0.01800,0.02635
0.0008,0.01800,0.0094
0.0016,0.01800,0.0098
-0.0387,0.01800,-0.01035
0.0352,0.00000,0.0176
-0.062,0.00900,-0.0265
0.0632,0.00000,0.0316
0.0244,0.01800,0.0212
0.018,0.01800,0.018
0.0062,0.01800,0.0121
-0.0076,0.00000,-0.0038
0.0235,0.01800,0.02075
0.0155,0.01800,0.01675
0.0471,0.00000,0.02355
0.0145,0.01800,0.01625
-0.0059,0.01800,0.00605
-0.0191,0.01800,-0.00055
0.0181,0.00900,0.01355
0.0565,0.00900,0.03275
-0.0957,-0.00900,-0.05235
-0.1521,-0.02700,-0.08955
0.0676,0.01800,0.0428
0.0274,0.01800,0.0227
-0.0184,0.00900,-0.0047
0.0603,0.01800,0.03915
0.0322,0.01800,0.0251
-0.007,0.01800,0.0055
-0.0367,-0.00900,-0.02285
0.0643,0.01800,0.04115
0.0214,0.01800,0.0197
